txn_id,timestamp,sender_bank,receiver_bank,upi_app,amount,status,merchant,city,category
UPI000025,2026-01-10 17:28:00,BOB,Axis,PhonePe,42436.3,FAILED,Jhaveri LLC,Mathura,Bills
UPI000026,2026-01-13 23:34:00,Axis,PNB,AmazonPay,19527.18,REVERSED,"Sarkar, Ray and Karnik",Junagadh,Transport
UPI000027,2026-01-03 18:34:00,PNB,ICICI,PhonePe,10892.87,SUCCESS,"Banerjee, Kumar and Narayan",Khandwa,Transfer
UPI000028,2026-01-24 02:41:00,SBI,BOB,GPay,45970.16,SUCCESS,Bhargava Ltd,Shimla,Transfer
UPI000029,2026-01-26 22:14:00,HDFC,Kotak,AmazonPay,43092.34,SUCCESS,"Dyal, Desai and Kanda",Chandrapur,Transfer
UPI000030,2026-01-12 20:49:00,HDFC,PNB,Paytm,32872.08,FAILED,"Ray, Shetty and Khurana",Vasai-Virar,Shopping
UPI000031,2026-01-04 07:14:00,SBI,Axis,AmazonPay,33587.79,SUCCESS,"Ray, Modi and Mander",Raipur,Food
UPI000032,2026-01-04 03:08:00,HDFC,ICICI,Paytm,25299.18,FAILED,Kanda and Sons,Ranchi,Bills
UPI000033,2026-01-30 18:18:00,Kotak,SBI,AmazonPay,35179.96,PENDING,Merchant-Kapur,Gopalpur,Food
UPI000034,2026-01-26 04:16:00,HDFC,ICICI,Paytm,6723.21,FAILED,Oza-Sunder,Amravati,Shopping
UPI000035,2026-01-03 07:29:00,SBI,PNB,BHIM,31715.56,PENDING,Bora Inc,Coimbatore,Food
UPI000036,2026-01-21 02:36:00,Kotak,PNB,BHIM,38558.25,SUCCESS,Gara-Jani,Amaravati,Food
UPI000037,2026-01-17 19:16:00,Kotak,Kotak,GPay,44156.49,REVERSED,"Ravel, Dayal and Panchal",Howrah,Transport
UPI000038,2026-01-02 19:34:00,ICICI,HDFC,GPay,18238.93,SUCCESS,Barman and Sons,Alwar,Shopping
UPI000039,2026-01-08 00:48:00,HDFC,BOB,GPay,44207.89,FAILED,Shroff and Sons,Nizamabad,Bills
UPI000040,2026-01-12 07:03:00,ICICI,HDFC,PhonePe,36830.86,REVERSED,"Natt, Kapur and Majumdar",Korba,Food
UPI000041,2026-01-14 21:20:00,BOB,BOB,GPay,11129.46,FAILED,Bhardwaj Group,Ahmedabad,Food
UPI000042,2026-01-13 16:52:00,ICICI,PNB,AmazonPay,19929.31,REVERSED,Sane-Gulati,Bellary,Transfer
UPI000043,2026-01-27 10:09:00,ICICI,SBI,PhonePe,1389.75,REVERSED,"Ramanathan, Natt and Sharma",Parbhani,Shopping
UPI000044,2026-01-18 12:44:00,Kotak,HDFC,Paytm,15690.73,SUCCESS,Srivastava-Narang,Hubli–Dharwad,Bills
UPI000045,2026-01-09 23:12:00,ICICI,Axis,PhonePe,46279.5,PENDING,Hora Group,Ramagundam,Transfer
UPI000046,2026-01-15 01:49:00,PNB,Axis,Paytm,42402.28,REVERSED,Bera Group,Raebareli,Shopping
UPI000047,2026-01-08 22:05:00,Kotak,Kotak,Paytm,9600.09,REVERSED,"Divan, Lad and Srinivas",Bhiwani,Transfer
UPI000048,2026-01-28 14:38:00,PNB,ICICI,BHIM,15200.71,REVERSED,Swamy-Solanki,Hubli–Dharwad,Bills
UPI000049,2026-01-08 17:20:00,PNB,SBI,Paytm,25563.59,PENDING,Iyer-Menon,Ratlam,Food
UPI000050,2026-01-10 01:30:00,HDFC,SBI,PhonePe,37559.4,FAILED,"Prabhu, Dora and Venkataraman",Gudivada,Bills
UPI000051,2026-01-27 04:47:00,HDFC,PNB,BHIM,38426.78,REVERSED,"Bobal, Deo and Warrior",Rohtak,Bills
UPI000052,2026-01-05 20:25:00,BOB,Axis,GPay,,FAILED,Divan-Misra,Bijapur,Transfer
UPI000053,2026-01-07 01:38:00,BOB,Axis,AmazonPay,27874.72,PENDING,"Khalsa, Palla and Savant",Ranchi,Bills
UPI000054,2026-01-25 22:25:00,Axis,HDFC,BHIM,35966.51,REVERSED,Pall-Lala,Gandhinagar,Shopping
UPI000055,2026-01-23 01:18:00,PNB,HDFC,Paytm,41994.75,REVERSED,Palla-Saini,Kottayam,Food
UPI000056,2026-01-04 16:00:00,HDFC,HDFC,GPay,11732.33,REVERSED,Borde-Bawa,Karawal Nagar,Transport
UPI000057,2026-01-19 22:08:00,SBI,HDFC,BHIM,3220.8,REVERSED,Mistry-De,Hospet,Transfer
UPI000058,2026-01-22 16:59:00,SBI,ICICI,Paytm,986.4,REVERSED,Rana PLC,Bhilai,Bills
UPI000059,2026-01-23 05:16:00,HDFC,ICICI,BHIM,36734.36,REVERSED,Ranganathan LLC,Dehradun,Food
UPI000060,2026-01-22 06:30:00,HDFC,Kotak,AmazonPay,33446.99,SUCCESS,Konda LLC,Pimpri-Chinchwad,Bills
UPI000061,2026-01-22 00:17:00,HDFC,SBI,Paytm,33153.36,REVERSED,"Chawla, Nazareth and Manda",Bally,Shopping
UPI000062,2026-01-20 04:27:00,ICICI,BOB,PhonePe,16349.02,REVERSED,Toor-Kala,Loni,Food
UPI000063,2026-01-04 02:56:00,BOB,PNB,PhonePe,2613.76,SUCCESS,Dass-Bajaj,Tiruppur,Transport
UPI000064,2026-01-06 04:56:00,Kotak,HDFC,BHIM,1028.8,PENDING,Bahl Group,Uluberia,Shopping
UPI000065,2026-01-08 10:52:00,ICICI,SBI,AmazonPay,30366.3,SUCCESS,"Shroff, Hegde and Kohli",Loni,Shopping
UPI000066,2026-01-10 00:37:00,SBI,Kotak,GPay,45402.23,SUCCESS,Morar-Naidu,Alappuzha,Shopping
UPI000067,2026-01-02 20:51:00,ICICI,Kotak,BHIM,30024.58,PENDING,Sahota-Basak,Kolkata,Food
UPI000068,2026-01-05 19:16:00,Axis,ICICI,BHIM,17068.15,FAILED,Walla Group,Kulti,Bills
UPI000069,2026-01-25 11:49:00,BOB,Axis,BHIM,26092.12,REVERSED,Acharya-Bajaj,Durgapur,Transfer
UPI000070,2026-01-21 12:23:00,HDFC,BOB,BHIM,42587.14,REVERSED,Narain-Magar,Sirsa,Shopping
UPI000071,2026-01-12 18:11:00,ICICI,ICICI,AmazonPay,42549.13,PENDING,Nayak Inc,Howrah,Transfer
UPI000072,2026-01-23 05:39:00,Kotak,BOB,GPay,47403.65,REVERSED,Dutt LLC,North Dumdum,Bills
UPI000073,2026-01-12 01:45:00,ICICI,PNB,AmazonPay,871.99,PENDING,Rout-Ray,Bongaigaon,Bills
UPI000074,2026-01-17 00:16:00,PNB,Axis,Paytm,17194.43,PENDING,Taneja Group,Kamarhati,Shopping
UPI000075,2026-01-09 10:13:00,HDFC,HDFC,BHIM,36067.0,PENDING,"Kulkarni, Radhakrishnan and Radhakrishnan",Pallavaram,Transfer
UPI000076,2026-01-09 20:01:00,ICICI,HDFC,Paytm,26236.6,FAILED,Bawa-Ratta,Deoghar,Shopping
UPI000077,2026-01-26 04:24:00,ICICI,PNB,GPay,26711.41,REVERSED,Sankar Group,Durg,Food
UPI000078,2026-01-09 09:22:00,SBI,ICICI,BHIM,28707.47,SUCCESS,Bedi-Ghosh,Siliguri,Food
UPI000079,2026-01-07 18:57:00,BOB,Kotak,Paytm,3713.37,SUCCESS,Borra-Samra,Bhilai,Transport
UPI000080,2026-01-11 06:30:00,BOB,Kotak,BHIM,38224.53,REVERSED,Magar PLC,Ahmednagar,Bills
UPI000081,2026-01-03 17:47:00,Kotak,PNB,PhonePe,29430.37,FAILED,Sami-Kumar,Bhusawal,Transport
UPI000082,2026-01-08 02:58:00,SBI,Axis,BHIM,4068.56,REVERSED,Lall LLC,Kirari Suleman Nagar,Shopping
UPI000083,2026-01-04 05:44:00,PNB,HDFC,Paytm,14412.36,FAILED,"Kant, Kade and Sule",Malegaon,Bills
UPI000084,2026-01-07 11:21:00,SBI,SBI,GPay,11248.22,PENDING,"Deshmukh, Vora and Jain",Ozhukarai,Transfer
UPI000085,2026-01-14 20:08:00,PNB,Axis,Paytm,28464.66,REVERSED,"Comar, Luthra and Chaudhry",Nizamabad,Bills
UPI000086,2026-01-12 09:28:00,SBI,SBI,GPay,2002.64,SUCCESS,Singhal Ltd,Jaipur,Shopping
UPI000087,2026-01-21 03:01:00,ICICI,HDFC,AmazonPay,38157.82,REVERSED,"Shroff, Lata and Kumar",Coimbatore,Bills
UPI000088,2026-01-05 18:15:00,BOB,HDFC,Paytm,23505.82,REVERSED,Virk-Chaudry,Dhanbad,Bills
UPI000089,2026-01-21 16:47:00,SBI,ICICI,Paytm,47260.23,PENDING,Venkataraman-Narula,Dindigul,Food
UPI000090,2026-01-30 22:20:00,BOB,Kotak,BHIM,20214.71,REVERSED,"Kale, Banerjee and Pillay",Varanasi,Food
UPI000091,2026-01-03 08:22:00,HDFC,ICICI,AmazonPay,18095.35,FAILED,"Master, Wadhwa and Chaudhary",Coimbatore,Shopping
UPI000092,2026-01-28 17:03:00,BOB,HDFC,GPay,34915.52,PENDING,"Chaudhari, Mani and Arya",Dewas,Transfer
UPI000093,2026-01-06 03:55:00,Axis,SBI,GPay,20405.45,REVERSED,"Srinivasan, Gopal and Nagar",Vellore,Shopping
UPI000094,2026-01-12 02:13:00,Axis,Kotak,GPay,13678.51,REVERSED,"Arora, Saran and Swamy",Mysore,Transport
UPI000095,2026-01-13 13:44:00,BOB,BOB,BHIM,25416.96,PENDING,"Bhatnagar, Dora and Sha",Bhavnagar,Transfer
UPI000096,2026-01-27 09:25:00,PNB,Axis,GPay,138.24,REVERSED,"Anand, Malhotra and Sha",Bilaspur,Transfer
UPI000097,2026-01-15 15:28:00,BOB,HDFC,GPay,16628.67,REVERSED,Prabhakar LLC,Bhalswa Jahangir Pur,Transport
UPI000098,2026-01-18 08:24:00,Axis,PNB,GPay,20544.65,REVERSED,Bora Group,Khammam,Food
UPI000099,2026-01-21 00:55:00,SBI,Kotak,BHIM,48268.03,SUCCESS,"Parsa, Kothari and Biswas",Satna,Transport
UPI000100,2026-01-13 01:28:00,ICICI,Kotak,BHIM,32742.52,SUCCESS,"Srinivas, Maharaj and Vyas",Muzaffarpur,Shopping
UPI000101,2026-01-23 04:58:00,BOB,Kotak,PhonePe,42968.52,SUCCESS,"Chowdhury, Rattan and Dhawan",Bijapur,Transport
UPI000102,2026-01-20 18:00:00,SBI,BOB,PhonePe,46047.25,REVERSED,"Setty, Agrawal and Suresh",Chennai,Transport
UPI000103,2026-01-03 13:17:00,ICICI,ICICI,Paytm,,REVERSED,Chauhan LLC,Rohtak,Transport
UPI000104,2026-01-08 23:13:00,SBI,Kotak,BHIM,20608.47,FAILED,"Mammen, Nigam and Ranganathan",Katni,Bills
UPI000105,2026-01-12 14:53:00,PNB,SBI,BHIM,7164.45,PENDING,"Goswami, Sarraf and Kalita",Noida,Transfer
UPI000106,2026-01-30 01:53:00,Axis,PNB,Paytm,22092.07,REVERSED,"Kadakia, Bhatnagar and Anand",Yamunanagar,Shopping
UPI000107,2026-01-27 00:41:00,ICICI,Kotak,Paytm,19240.82,PENDING,"Sarin, Merchant and Varkey",Thiruvananthapuram,Food
UPI000108,2026-01-03 05:34:00,Kotak,PNB,BHIM,32914.91,PENDING,Palla-Vig,Tadipatri,Transport
UPI000109,2026-01-31 00:00:00,PNB,BOB,GPay,17622.52,SUCCESS,"Savant, Choudhry and Ratta",Rampur,Food
UPI000110,2026-01-05 02:26:00,ICICI,ICICI,BHIM,22046.75,FAILED,Ray-Vala,Khandwa,Transport
UPI000111,2026-01-13 09:40:00,BOB,HDFC,Paytm,26974.99,REVERSED,"Chaudry, Cheema and Dutta",Saharanpur,Shopping
UPI000112,2026-01-07 09:44:00,BOB,HDFC,BHIM,16942.38,PENDING,Ravi Group,Rewa,Food
UPI000113,2026-01-12 22:21:00,Kotak,Axis,Paytm,705.79,SUCCESS,Comar-Sheth,Jalandhar,Transport
UPI000114,2026-01-28 18:22:00,HDFC,PNB,PhonePe,30981.15,REVERSED,Lal Group,Ulhasnagar,Shopping
UPI000115,2026-01-02 16:38:00,ICICI,Axis,PhonePe,,SUCCESS,Parmar LLC,Barasat,Transport
UPI000116,2026-01-25 14:02:00,Axis,Kotak,GPay,6791.85,REVERSED,"Golla, Kari and Sidhu",Raichur,Food
UPI000117,2026-01-17 20:43:00,HDFC,Axis,BHIM,30786.45,FAILED,"Wable, Biswas and Khurana",Tadepalligudem,Shopping
UPI000118,2026-01-17 07:46:00,SBI,Axis,Paytm,34287.16,FAILED,Dara PLC,Hyderabad,Food
UPI000119,2026-01-30 02:29:00,Kotak,SBI,PhonePe,41211.31,PENDING,Rajan and Sons,Bhavnagar,Transport
UPI000120,2026-01-26 05:20:00,HDFC,Kotak,GPay,39351.04,FAILED,Hegde Ltd,Malegaon,Shopping
UPI000121,2026-01-07 14:02:00,HDFC,Kotak,Paytm,39434.3,FAILED,Kapadia PLC,Bidhannagar,Food
UPI000122,2026-01-11 19:53:00,Kotak,ICICI,PhonePe,,FAILED,"Deol, Thakkar and Sinha",Saharanpur,Shopping
UPI000123,2026-01-22 16:11:00,Axis,BOB,Paytm,37088.49,SUCCESS,Iyengar-Palla,Purnia,Bills
UPI000124,2026-01-30 23:41:00,Kotak,ICICI,BHIM,,SUCCESS,"Kumar, Vig and Ratta",Srinagar,Food
UPI000125,2026-01-21 04:29:00,SBI,SBI,Paytm,42366.45,FAILED,Chaudry-Dani,Bijapur,Food
UPI000126,2026-01-18 08:02:00,Kotak,Kotak,Paytm,31219.63,REVERSED,Sahni-Bhasin,Gangtok,Transfer
UPI000127,2026-01-30 14:58:00,BOB,Kotak,GPay,4967.93,REVERSED,Roy-Shenoy,Fatehpur,Bills
UPI000128,2026-01-05 07:51:00,ICICI,Axis,Paytm,20696.54,PENDING,"Chokshi, Sidhu and Edwin",Farrukhabad,Shopping
UPI000129,2026-01-04 21:14:00,SBI,Axis,PhonePe,34344.18,PENDING,"Hora, Suresh and Mahajan",Ambattur,Transport
UPI000130,2026-01-06 13:30:00,Axis,ICICI,BHIM,29327.39,SUCCESS,"Mandal, Basu and Sura",Dibrugarh,Shopping
UPI000131,2026-01-30 21:19:00,Axis,HDFC,PhonePe,17588.79,PENDING,Grover-Prasad,Rohtak,Transfer
UPI000132,2026-01-26 12:43:00,BOB,BOB,AmazonPay,38132.66,SUCCESS,Saha-Yadav,Ozhukarai,Transfer
UPI000133,2026-01-15 01:29:00,ICICI,ICICI,PhonePe,41474.74,FAILED,Borah-Chopra,Malda,Transport
UPI000134,2026-01-02 09:29:00,SBI,PNB,AmazonPay,20045.21,FAILED,"Kalla, Gour and Barad",Nizamabad,Bills
UPI000135,2026-01-26 19:57:00,Kotak,SBI,PhonePe,17051.39,FAILED,Sengupta-Aggarwal,Bhavnagar,Transport
UPI000136,2026-01-20 07:08:00,Axis,Kotak,BHIM,2497.63,REVERSED,"Buch, Bawa and Kaur",Adoni,Shopping
UPI000137,2026-01-27 23:51:00,Axis,Kotak,Paytm,25622.19,SUCCESS,"Kamdar, Goyal and Din",Vijayawada,Transport
UPI000138,2026-01-14 17:13:00,HDFC,BOB,GPay,,PENDING,Gulati-Devan,Rajkot,Shopping
UPI000139,2026-01-18 07:17:00,Kotak,PNB,GPay,396.42,PENDING,Murty PLC,Satna,Food
UPI000140,2026-01-04 13:02:00,BOB,ICICI,AmazonPay,37104.65,REVERSED,Sane Ltd,Pune,Transfer
UPI000141,2026-01-15 18:44:00,HDFC,BOB,AmazonPay,32010.68,REVERSED,"Dhar, Sant and Khurana",Jhansi,Shopping
UPI000142,2026-01-24 20:18:00,SBI,Axis,Paytm,42225.77,PENDING,Shere-Sethi,Hyderabad,Transport
UPI000143,2026-01-24 05:00:00,HDFC,BOB,Paytm,8414.95,PENDING,Sundaram Group,Kamarhati,Transport
UPI000144,2026-01-30 19:59:00,SBI,HDFC,BHIM,7330.75,REVERSED,Dara-Seth,Tiruvottiyur,Transfer
UPI000145,2026-01-29 21:54:00,Kotak,ICICI,Paytm,22450.77,FAILED,"Mani, Andra and Chada",Surat,Bills
UPI000146,2026-01-03 13:21:00,ICICI,Kotak,PhonePe,22115.98,PENDING,Date-Parikh,Kurnool,Bills
UPI000147,2026-01-05 02:37:00,Kotak,Kotak,AmazonPay,2853.93,REVERSED,"De, Zachariah and Sidhu",Jorhat,Bills
UPI000148,2026-01-27 00:24:00,PNB,HDFC,Paytm,47712.03,REVERSED,Dara and Sons,Bijapur,Transfer
UPI000149,2026-01-16 15:07:00,PNB,SBI,AmazonPay,3103.07,FAILED,Walia and Sons,Shivpuri,Food
UPI000150,2026-01-08 05:23:00,ICICI,ICICI,Paytm,21893.54,REVERSED,Maharaj and Sons,Jalandhar,Bills
UPI000151,2026-01-16 05:31:00,SBI,ICICI,PhonePe,33948.1,REVERSED,"Dyal, Chokshi and Madan",Giridih,Shopping
UPI000152,2026-01-07 20:14:00,ICICI,SBI,AmazonPay,42579.8,FAILED,"Sunder, Bhalla and Nanda",Mumbai,Shopping
UPI000153,2026-01-04 20:32:00,ICICI,Kotak,BHIM,32806.18,PENDING,Kaur PLC,Faridabad,Transport
UPI000154,2026-01-24 22:57:00,SBI,PNB,BHIM,41449.66,PENDING,"Pau, Upadhyay and Baria",Kurnool,Food
UPI000155,2026-01-23 03:08:00,HDFC,HDFC,GPay,9021.34,FAILED,"Oommen, Trivedi and Saini",Thrissur,Food
UPI000156,2026-01-24 23:06:00,SBI,PNB,Paytm,39408.13,FAILED,Chaudhary-Borde,Bellary,Transfer
UPI000157,2026-01-08 12:48:00,PNB,Axis,PhonePe,8120.74,REVERSED,Nair-Mahajan,Morbi,Shopping
UPI000158,2026-01-21 10:20:00,HDFC,Kotak,GPay,11884.13,PENDING,"Bahri, Halder and Date",Madhyamgram,Bills
UPI000159,2026-01-21 01:14:00,Axis,BOB,Paytm,9708.87,REVERSED,Khanna Group,Bangalore,Transfer
UPI000160,2026-01-07 07:10:00,BOB,ICICI,PhonePe,48313.74,REVERSED,Badal PLC,Guwahati,Shopping
UPI000161,2026-01-13 23:21:00,SBI,BOB,GPay,5138.46,PENDING,Loke Group,Medininagar,Bills
UPI000162,2026-01-11 02:31:00,BOB,Axis,Paytm,7375.96,SUCCESS,"Parekh, Nagi and Narayanan",Ramgarh,Bills
UPI000163,2026-01-18 01:30:00,HDFC,SBI,Paytm,25105.34,SUCCESS,Raj-Das,Orai,Shopping
UPI000164,2026-01-07 07:35:00,BOB,PNB,BHIM,6888.6,REVERSED,"Ghose, Chana and Bassi",Warangal,Transfer
UPI000021,2026-01-28 17:03:00,Kotak,Axis,PhonePe,960.0,PENDING,Sura LLC,Farrukhabad,Transport
UPI000166,2026-01-21 19:17:00,SBI,SBI,BHIM,2396.99,SUCCESS,Dara-Mangal,Bhatpara,Transfer
UPI000167,2026-01-17 01:22:00,HDFC,Kotak,BHIM,-35930.03,FAILED,Kakar LLC,Karimnagar,Food
UPI000168,2026-01-24 02:27:00,Kotak,SBI,BHIM,18036.58,REVERSED,Issac LLC,Tezpur,Food
UPI000169,2026-01-04 01:47:00,ICICI,HDFC,PhonePe,-49052.16,PENDING,"Chauhan, Gole and Chauhan",Mangalore,Transport
UPI000170,2026-01-22 03:29:00,PNB,Axis,GPay,27305.23,FAILED,"Goel, Mani and Krishnan",Bathinda,Food
UPI000171,2026-01-10 04:11:00,SBI,BOB,GPay,,SUCCESS,"Munshi, Mand and Sathe",Kozhikode,Shopping
UPI000172,2026-01-12 12:41:00,SBI,BOB,GPay,25774.03,PENDING,Bail Inc,Davanagere,Shopping
UPI000173,2026-01-17 17:58:00,Axis,Axis,BHIM,2399.72,REVERSED,Bandi-Gera,Gangtok,Shopping
UPI000174,2026-01-24 15:11:00,ICICI,BOB,PhonePe,24815.2,REVERSED,"Dhawan, Kuruvilla and Ravel",Bahraich,Food
UPI000175,2026-01-05 16:03:00,SBI,ICICI,Paytm,49754.96,PENDING,Subramanian-Atwal,Tadepalligudem,Bills
UPI000176,2026-01-02 22:15:00,PNB,BOB,Paytm,21311.54,REVERSED,Menon Ltd,Siwan,Shopping
UPI000177,2026-01-19 11:41:00,ICICI,Kotak,GPay,39575.98,SUCCESS,"Nayar, Dutt and Ramaswamy",Khora ,Transport
UPI000178,2026-01-11 17:46:00,BOB,PNB,Paytm,33907.66,PENDING,Sinha and Sons,Pudukkottai,Bills
UPI000179,2026-01-17 21:11:00,ICICI,Axis,PhonePe,1628.94,FAILED,"Borah, Dugar and Butala",Parbhani,Transfer
UPI000180,2026-01-02 04:18:00,PNB,HDFC,BHIM,15726.13,REVERSED,Sethi Ltd,Thiruvananthapuram,Transfer
UPI000181,2026-01-28 20:19:00,ICICI,PNB,BHIM,38750.47,FAILED,Bali-Khurana,Danapur,Food
UPI000182,2026-01-04 23:53:00,BOB,PNB,Paytm,3711.86,PENDING,Chokshi-Soman,Hajipur,Food
UPI000183,2026-01-30 00:32:00,HDFC,BOB,Paytm,14525.21,FAILED,Kashyap LLC,Karnal,Food
UPI000184,2026-01-17 10:11:00,Kotak,Kotak,Paytm,39605.36,REVERSED,Halder-Jha,Burhanpur,Transfer
UPI000185,2026-01-22 18:49:00,Kotak,Axis,BHIM,44213.48,SUCCESS,Pai Group,Hajipur,Transport
UPI000186,2026-01-16 16:18:00,HDFC,BOB,AmazonPay,32120.51,FAILED,Gera and Sons,Nashik,Transport
UPI000187,2026-01-07 23:08:00,ICICI,HDFC,GPay,45536.51,PENDING,Misra PLC,Dhule,Transport
UPI000188,2026-01-12 09:43:00,HDFC,PNB,AmazonPay,47045.79,PENDING,Sarkar-Ramesh,Faridabad,Transport
UPI000189,2026-01-27 22:24:00,Kotak,HDFC,GPay,30725.27,PENDING,Dash-Chanda,Udupi,Transfer
UPI000190,2026-01-27 05:59:00,ICICI,PNB,GPay,43190.42,REVERSED,Gour and Sons,Bidar,Transfer
UPI000191,2026-01-14 17:58:00,Axis,HDFC,BHIM,24906.92,PENDING,Gala Inc,Mangalore,Bills
UPI000192,2026-01-10 06:50:00,ICICI,Kotak,GPay,3005.05,PENDING,Garg LLC,Sikar,Shopping
UPI000193,2026-01-17 20:43:00,Kotak,Kotak,PhonePe,43040.26,PENDING,"Karan, Bhalla and Vaidya",Ambattur,Transport
UPI000194,2026-01-14 04:59:00,Axis,BOB,AmazonPay,13380.91,REVERSED,"Mutti, Vohra and Raval",Haridwar,Transport
UPI000195,2026-01-15 05:34:00,HDFC,BOB,GPay,45116.52,REVERSED,"Oommen, Basak and Ahluwalia",Dindigul,Transfer
UPI000196,2026-01-18 21:31:00,Kotak,Axis,GPay,43954.99,FAILED,Kunda Inc,Proddatur,Transfer
UPI000197,2026-01-30 18:37:00,PNB,Axis,Paytm,2536.51,SUCCESS,Nagy-Ramanathan,Sirsa,Food
UPI000198,2026-01-17 15:42:00,SBI,Axis,PhonePe,44123.96,FAILED,"Grewal, Jha and Banik",Dindigul,Shopping
UPI000199,2026-01-13 17:31:00,BOB,Kotak,AmazonPay,3685.85,SUCCESS,Tella-Borra,Bulandshahr,Transport
UPI000200,2026-01-17 15:20:00,BOB,HDFC,GPay,19701.25,REVERSED,Natt-Agarwal,Mango,Transfer
UPI000201,2026-01-24 15:14:00,Axis,HDFC,AmazonPay,1955.31,FAILED,Toor and Sons,Yamunanagar,Shopping
UPI000202,2026-01-14 14:50:00,Kotak,ICICI,AmazonPay,15933.32,REVERSED,More Ltd,Secunderabad,Transfer
UPI000203,2026-01-19 22:58:00,Kotak,ICICI,PhonePe,40789.28,REVERSED,Dhillon and Sons,Singrauli,Shopping
UPI000204,2026-01-03 08:05:00,Kotak,Axis,GPay,39147.37,REVERSED,"Kade, Basu and Nori",Ramgarh,Transport
UPI000205,2026-01-09 16:23:00,SBI,Axis,Paytm,12117.41,REVERSED,Narayan and Sons,Gandhinagar,Transport
UPI000206,2026-01-22 11:07:00,BOB,BOB,PhonePe,10202.55,FAILED,"Kohli, Khurana and Bose",Hapur,Transfer
UPI000207,2026-01-15 06:42:00,HDFC,Axis,AmazonPay,16259.23,PENDING,Joshi-Agate,Hajipur,Transfer
UPI000208,2026-01-13 00:45:00,Kotak,Axis,GPay,38601.77,FAILED,Palla Inc,Morbi,Shopping
UPI000209,2026-01-14 03:40:00,PNB,HDFC,BHIM,11251.1,PENDING,Sami PLC,Pali,Bills
UPI000210,2026-01-06 13:07:00,Kotak,PNB,AmazonPay,46685.68,REVERSED,Khatri Inc,Sikar,Bills
UPI000211,2026-01-14 02:10:00,PNB,SBI,Paytm,47730.9,REVERSED,Swaminathan-Bassi,Khammam,Shopping
